..\dataset\tracks\0.wav,..\dataset\masks\0.npy
..\dataset\tracks\1056.wav,..\dataset\masks\1056.npy
..\dataset\tracks\1057.wav,..\dataset\masks\1057.npy
..\dataset\tracks\1058.wav,..\dataset\masks\1058.npy
..\dataset\tracks\1059.wav,..\dataset\masks\1059.npy
..\dataset\tracks\106.wav,..\dataset\masks\106.npy
..\dataset\tracks\1060.wav,..\dataset\masks\1060.npy
..\dataset\tracks\1061.wav,..\dataset\masks\1061.npy
..\dataset\tracks\1062.wav,..\dataset\masks\1062.npy
..\dataset\tracks\1063.wav,..\dataset\masks\1063.npy
..\dataset\tracks\1064.wav,..\dataset\masks\1064.npy
..\dataset\tracks\1065.wav,..\dataset\masks\1065.npy
..\dataset\tracks\1066.wav,..\dataset\masks\1066.npy
..\dataset\tracks\1067.wav,..\dataset\masks\1067.npy
..\dataset\tracks\1068.wav,..\dataset\masks\1068.npy
..\dataset\tracks\1069.wav,..\dataset\masks\1069.npy
..\dataset\tracks\107.wav,..\dataset\masks\107.npy
..\dataset\tracks\1070.wav,..\dataset\masks\1070.npy
..\dataset\tracks\1071.wav,..\dataset\masks\1071.npy
..\dataset\tracks\1072.wav,..\dataset\masks\1072.npy
..\dataset\tracks\1073.wav,..\dataset\masks\1073.npy
..\dataset\tracks\1074.wav,..\dataset\masks\1074.npy
..\dataset\tracks\1075.wav,..\dataset\masks\1075.npy
..\dataset\tracks\1076.wav,..\dataset\masks\1076.npy
..\dataset\tracks\1077.wav,..\dataset\masks\1077.npy
..\dataset\tracks\1078.wav,..\dataset\masks\1078.npy
..\dataset\tracks\1079.wav,..\dataset\masks\1079.npy
..\dataset\tracks\108.wav,..\dataset\masks\108.npy
..\dataset\tracks\1080.wav,..\dataset\masks\1080.npy
..\dataset\tracks\1081.wav,..\dataset\masks\1081.npy
..\dataset\tracks\1082.wav,..\dataset\masks\1082.npy
..\dataset\tracks\1083.wav,..\dataset\masks\1083.npy
..\dataset\tracks\1084.wav,..\dataset\masks\1084.npy
..\dataset\tracks\1085.wav,..\dataset\masks\1085.npy
..\dataset\tracks\1086.wav,..\dataset\masks\1086.npy
..\dataset\tracks\1087.wav,..\dataset\masks\1087.npy
..\dataset\tracks\1088.wav,..\dataset\masks\1088.npy
..\dataset\tracks\1089.wav,..\dataset\masks\1089.npy
..\dataset\tracks\109.wav,..\dataset\masks\109.npy
..\dataset\tracks\1090.wav,..\dataset\masks\1090.npy
..\dataset\tracks\1091.wav,..\dataset\masks\1091.npy
..\dataset\tracks\1092.wav,..\dataset\masks\1092.npy
..\dataset\tracks\1093.wav,..\dataset\masks\1093.npy
..\dataset\tracks\1094.wav,..\dataset\masks\1094.npy
..\dataset\tracks\1095.wav,..\dataset\masks\1095.npy
..\dataset\tracks\1096.wav,..\dataset\masks\1096.npy
..\dataset\tracks\1097.wav,..\dataset\masks\1097.npy
..\dataset\tracks\1098.wav,..\dataset\masks\1098.npy
..\dataset\tracks\1099.wav,..\dataset\masks\1099.npy
..\dataset\tracks\11.wav,..\dataset\masks\11.npy
..\dataset\tracks\110.wav,..\dataset\masks\110.npy
..\dataset\tracks\1100.wav,..\dataset\masks\1100.npy
..\dataset\tracks\1101.wav,..\dataset\masks\1101.npy
..\dataset\tracks\1102.wav,..\dataset\masks\1102.npy
..\dataset\tracks\1103.wav,..\dataset\masks\1103.npy
..\dataset\tracks\1104.wav,..\dataset\masks\1104.npy
..\dataset\tracks\1105.wav,..\dataset\masks\1105.npy
..\dataset\tracks\1106.wav,..\dataset\masks\1106.npy
..\dataset\tracks\1107.wav,..\dataset\masks\1107.npy
..\dataset\tracks\1108.wav,..\dataset\masks\1108.npy
..\dataset\tracks\1109.wav,..\dataset\masks\1109.npy
..\dataset\tracks\111.wav,..\dataset\masks\111.npy
..\dataset\tracks\1110.wav,..\dataset\masks\1110.npy
..\dataset\tracks\1111.wav,..\dataset\masks\1111.npy
..\dataset\tracks\1112.wav,..\dataset\masks\1112.npy
..\dataset\tracks\1113.wav,..\dataset\masks\1113.npy
..\dataset\tracks\1114.wav,..\dataset\masks\1114.npy
..\dataset\tracks\1115.wav,..\dataset\masks\1115.npy
..\dataset\tracks\1116.wav,..\dataset\masks\1116.npy
..\dataset\tracks\1117.wav,..\dataset\masks\1117.npy
..\dataset\tracks\1118.wav,..\dataset\masks\1118.npy
..\dataset\tracks\1119.wav,..\dataset\masks\1119.npy
..\dataset\tracks\112.wav,..\dataset\masks\112.npy
..\dataset\tracks\1120.wav,..\dataset\masks\1120.npy
..\dataset\tracks\1121.wav,..\dataset\masks\1121.npy
..\dataset\tracks\1122.wav,..\dataset\masks\1122.npy
..\dataset\tracks\1123.wav,..\dataset\masks\1123.npy
..\dataset\tracks\1124.wav,..\dataset\masks\1124.npy
..\dataset\tracks\1125.wav,..\dataset\masks\1125.npy
..\dataset\tracks\1126.wav,..\dataset\masks\1126.npy
..\dataset\tracks\1127.wav,..\dataset\masks\1127.npy
..\dataset\tracks\1128.wav,..\dataset\masks\1128.npy
..\dataset\tracks\1129.wav,..\dataset\masks\1129.npy
..\dataset\tracks\113.wav,..\dataset\masks\113.npy
..\dataset\tracks\1130.wav,..\dataset\masks\1130.npy
..\dataset\tracks\1131.wav,..\dataset\masks\1131.npy
..\dataset\tracks\1132.wav,..\dataset\masks\1132.npy
..\dataset\tracks\1133.wav,..\dataset\masks\1133.npy
..\dataset\tracks\1134.wav,..\dataset\masks\1134.npy
..\dataset\tracks\1135.wav,..\dataset\masks\1135.npy
..\dataset\tracks\1136.wav,..\dataset\masks\1136.npy
..\dataset\tracks\1137.wav,..\dataset\masks\1137.npy
..\dataset\tracks\1138.wav,..\dataset\masks\1138.npy
..\dataset\tracks\1139.wav,..\dataset\masks\1139.npy
..\dataset\tracks\114.wav,..\dataset\masks\114.npy
..\dataset\tracks\1140.wav,..\dataset\masks\1140.npy
..\dataset\tracks\1141.wav,..\dataset\masks\1141.npy
..\dataset\tracks\1142.wav,..\dataset\masks\1142.npy
..\dataset\tracks\1143.wav,..\dataset\masks\1143.npy
..\dataset\tracks\1144.wav,..\dataset\masks\1144.npy
..\dataset\tracks\1145.wav,..\dataset\masks\1145.npy
..\dataset\tracks\1146.wav,..\dataset\masks\1146.npy
..\dataset\tracks\1147.wav,..\dataset\masks\1147.npy
..\dataset\tracks\1148.wav,..\dataset\masks\1148.npy
..\dataset\tracks\1149.wav,..\dataset\masks\1149.npy
..\dataset\tracks\115.wav,..\dataset\masks\115.npy
..\dataset\tracks\1150.wav,..\dataset\masks\1150.npy
..\dataset\tracks\1151.wav,..\dataset\masks\1151.npy
..\dataset\tracks\1152.wav,..\dataset\masks\1152.npy
..\dataset\tracks\1153.wav,..\dataset\masks\1153.npy
..\dataset\tracks\1154.wav,..\dataset\masks\1154.npy
..\dataset\tracks\1155.wav,..\dataset\masks\1155.npy
..\dataset\tracks\1156.wav,..\dataset\masks\1156.npy
..\dataset\tracks\1157.wav,..\dataset\masks\1157.npy
..\dataset\tracks\1158.wav,..\dataset\masks\1158.npy
..\dataset\tracks\1159.wav,..\dataset\masks\1159.npy
..\dataset\tracks\116.wav,..\dataset\masks\116.npy
..\dataset\tracks\1160.wav,..\dataset\masks\1160.npy
..\dataset\tracks\1161.wav,..\dataset\masks\1161.npy
..\dataset\tracks\1162.wav,..\dataset\masks\1162.npy
..\dataset\tracks\1163.wav,..\dataset\masks\1163.npy
..\dataset\tracks\1164.wav,..\dataset\masks\1164.npy
..\dataset\tracks\1165.wav,..\dataset\masks\1165.npy
..\dataset\tracks\1166.wav,..\dataset\masks\1166.npy
..\dataset\tracks\1167.wav,..\dataset\masks\1167.npy
..\dataset\tracks\1168.wav,..\dataset\masks\1168.npy
..\dataset\tracks\1169.wav,..\dataset\masks\1169.npy
..\dataset\tracks\117.wav,..\dataset\masks\117.npy
..\dataset\tracks\1170.wav,..\dataset\masks\1170.npy
..\dataset\tracks\1171.wav,..\dataset\masks\1171.npy
..\dataset\tracks\1172.wav,..\dataset\masks\1172.npy
..\dataset\tracks\1173.wav,..\dataset\masks\1173.npy
..\dataset\tracks\1174.wav,..\dataset\masks\1174.npy
..\dataset\tracks\1175.wav,..\dataset\masks\1175.npy
..\dataset\tracks\1176.wav,..\dataset\masks\1176.npy
..\dataset\tracks\1177.wav,..\dataset\masks\1177.npy
..\dataset\tracks\1178.wav,..\dataset\masks\1178.npy
..\dataset\tracks\1179.wav,..\dataset\masks\1179.npy
..\dataset\tracks\118.wav,..\dataset\masks\118.npy
..\dataset\tracks\1180.wav,..\dataset\masks\1180.npy
..\dataset\tracks\1181.wav,..\dataset\masks\1181.npy
..\dataset\tracks\1182.wav,..\dataset\masks\1182.npy
..\dataset\tracks\1183.wav,..\dataset\masks\1183.npy
..\dataset\tracks\1184.wav,..\dataset\masks\1184.npy
..\dataset\tracks\1185.wav,..\dataset\masks\1185.npy
..\dataset\tracks\1186.wav,..\dataset\masks\1186.npy
..\dataset\tracks\1187.wav,..\dataset\masks\1187.npy
..\dataset\tracks\1188.wav,..\dataset\masks\1188.npy
..\dataset\tracks\1189.wav,..\dataset\masks\1189.npy
..\dataset\tracks\119.wav,..\dataset\masks\119.npy
..\dataset\tracks\1190.wav,..\dataset\masks\1190.npy
..\dataset\tracks\1191.wav,..\dataset\masks\1191.npy
..\dataset\tracks\1192.wav,..\dataset\masks\1192.npy
..\dataset\tracks\1193.wav,..\dataset\masks\1193.npy
..\dataset\tracks\1194.wav,..\dataset\masks\1194.npy
..\dataset\tracks\1195.wav,..\dataset\masks\1195.npy
..\dataset\tracks\1196.wav,..\dataset\masks\1196.npy
..\dataset\tracks\1197.wav,..\dataset\masks\1197.npy
..\dataset\tracks\1198.wav,..\dataset\masks\1198.npy
..\dataset\tracks\1199.wav,..\dataset\masks\1199.npy
..\dataset\tracks\12.wav,..\dataset\masks\12.npy
..\dataset\tracks\120.wav,..\dataset\masks\120.npy
..\dataset\tracks\1200.wav,..\dataset\masks\1200.npy
..\dataset\tracks\1201.wav,..\dataset\masks\1201.npy
..\dataset\tracks\1202.wav,..\dataset\masks\1202.npy
..\dataset\tracks\1203.wav,..\dataset\masks\1203.npy
..\dataset\tracks\1204.wav,..\dataset\masks\1204.npy
..\dataset\tracks\1205.wav,..\dataset\masks\1205.npy
..\dataset\tracks\1206.wav,..\dataset\masks\1206.npy
..\dataset\tracks\1207.wav,..\dataset\masks\1207.npy
..\dataset\tracks\1208.wav,..\dataset\masks\1208.npy
..\dataset\tracks\1209.wav,..\dataset\masks\1209.npy
..\dataset\tracks\121.wav,..\dataset\masks\121.npy
..\dataset\tracks\1210.wav,..\dataset\masks\1210.npy
..\dataset\tracks\1211.wav,..\dataset\masks\1211.npy
..\dataset\tracks\1212.wav,..\dataset\masks\1212.npy
..\dataset\tracks\1213.wav,..\dataset\masks\1213.npy
..\dataset\tracks\1214.wav,..\dataset\masks\1214.npy
..\dataset\tracks\1215.wav,..\dataset\masks\1215.npy
..\dataset\tracks\1216.wav,..\dataset\masks\1216.npy
..\dataset\tracks\1217.wav,..\dataset\masks\1217.npy
..\dataset\tracks\1218.wav,..\dataset\masks\1218.npy
..\dataset\tracks\1219.wav,..\dataset\masks\1219.npy
..\dataset\tracks\122.wav,..\dataset\masks\122.npy
..\dataset\tracks\1220.wav,..\dataset\masks\1220.npy
..\dataset\tracks\1221.wav,..\dataset\masks\1221.npy
..\dataset\tracks\1222.wav,..\dataset\masks\1222.npy
..\dataset\tracks\1223.wav,..\dataset\masks\1223.npy
..\dataset\tracks\1224.wav,..\dataset\masks\1224.npy
..\dataset\tracks\1225.wav,..\dataset\masks\1225.npy
..\dataset\tracks\1226.wav,..\dataset\masks\1226.npy
..\dataset\tracks\1227.wav,..\dataset\masks\1227.npy
..\dataset\tracks\1228.wav,..\dataset\masks\1228.npy
..\dataset\tracks\1229.wav,..\dataset\masks\1229.npy
..\dataset\tracks\123.wav,..\dataset\masks\123.npy
..\dataset\tracks\1230.wav,..\dataset\masks\1230.npy
..\dataset\tracks\1231.wav,..\dataset\masks\1231.npy
..\dataset\tracks\1232.wav,..\dataset\masks\1232.npy
..\dataset\tracks\1233.wav,..\dataset\masks\1233.npy
..\dataset\tracks\1234.wav,..\dataset\masks\1234.npy
..\dataset\tracks\1235.wav,..\dataset\masks\1235.npy
..\dataset\tracks\1236.wav,..\dataset\masks\1236.npy
..\dataset\tracks\1237.wav,..\dataset\masks\1237.npy
..\dataset\tracks\1238.wav,..\dataset\masks\1238.npy
..\dataset\tracks\1239.wav,..\dataset\masks\1239.npy
..\dataset\tracks\124.wav,..\dataset\masks\124.npy
..\dataset\tracks\1240.wav,..\dataset\masks\1240.npy
..\dataset\tracks\1241.wav,..\dataset\masks\1241.npy
..\dataset\tracks\1242.wav,..\dataset\masks\1242.npy
..\dataset\tracks\1243.wav,..\dataset\masks\1243.npy
..\dataset\tracks\1244.wav,..\dataset\masks\1244.npy
..\dataset\tracks\1245.wav,..\dataset\masks\1245.npy
..\dataset\tracks\1246.wav,..\dataset\masks\1246.npy
..\dataset\tracks\1247.wav,..\dataset\masks\1247.npy
..\dataset\tracks\1248.wav,..\dataset\masks\1248.npy
..\dataset\tracks\1249.wav,..\dataset\masks\1249.npy
..\dataset\tracks\125.wav,..\dataset\masks\125.npy
..\dataset\tracks\1250.wav,..\dataset\masks\1250.npy
..\dataset\tracks\1251.wav,..\dataset\masks\1251.npy
..\dataset\tracks\1252.wav,..\dataset\masks\1252.npy
..\dataset\tracks\1253.wav,..\dataset\masks\1253.npy
..\dataset\tracks\1254.wav,..\dataset\masks\1254.npy
..\dataset\tracks\1255.wav,..\dataset\masks\1255.npy
..\dataset\tracks\1256.wav,..\dataset\masks\1256.npy
..\dataset\tracks\1257.wav,..\dataset\masks\1257.npy
..\dataset\tracks\1258.wav,..\dataset\masks\1258.npy
..\dataset\tracks\1259.wav,..\dataset\masks\1259.npy
..\dataset\tracks\126.wav,..\dataset\masks\126.npy
..\dataset\tracks\1260.wav,..\dataset\masks\1260.npy
..\dataset\tracks\1261.wav,..\dataset\masks\1261.npy
..\dataset\tracks\1262.wav,..\dataset\masks\1262.npy
..\dataset\tracks\1263.wav,..\dataset\masks\1263.npy
..\dataset\tracks\1264.wav,..\dataset\masks\1264.npy
..\dataset\tracks\1265.wav,..\dataset\masks\1265.npy
..\dataset\tracks\1266.wav,..\dataset\masks\1266.npy
..\dataset\tracks\1267.wav,..\dataset\masks\1267.npy
..\dataset\tracks\1268.wav,..\dataset\masks\1268.npy
..\dataset\tracks\1269.wav,..\dataset\masks\1269.npy
..\dataset\tracks\127.wav,..\dataset\masks\127.npy
..\dataset\tracks\1270.wav,..\dataset\masks\1270.npy
..\dataset\tracks\1271.wav,..\dataset\masks\1271.npy
..\dataset\tracks\1272.wav,..\dataset\masks\1272.npy
..\dataset\tracks\1273.wav,..\dataset\masks\1273.npy
..\dataset\tracks\1274.wav,..\dataset\masks\1274.npy
..\dataset\tracks\1275.wav,..\dataset\masks\1275.npy
..\dataset\tracks\1276.wav,..\dataset\masks\1276.npy
..\dataset\tracks\1277.wav,..\dataset\masks\1277.npy
..\dataset\tracks\1278.wav,..\dataset\masks\1278.npy
..\dataset\tracks\1279.wav,..\dataset\masks\1279.npy
..\dataset\tracks\128.wav,..\dataset\masks\128.npy
..\dataset\tracks\1280.wav,..\dataset\masks\1280.npy
..\dataset\tracks\1281.wav,..\dataset\masks\1281.npy
..\dataset\tracks\1282.wav,..\dataset\masks\1282.npy
..\dataset\tracks\1283.wav,..\dataset\masks\1283.npy
..\dataset\tracks\1284.wav,..\dataset\masks\1284.npy
..\dataset\tracks\1285.wav,..\dataset\masks\1285.npy
..\dataset\tracks\1286.wav,..\dataset\masks\1286.npy
..\dataset\tracks\1287.wav,..\dataset\masks\1287.npy
..\dataset\tracks\1288.wav,..\dataset\masks\1288.npy
..\dataset\tracks\1289.wav,..\dataset\masks\1289.npy
..\dataset\tracks\129.wav,..\dataset\masks\129.npy
..\dataset\tracks\1290.wav,..\dataset\masks\1290.npy
..\dataset\tracks\1291.wav,..\dataset\masks\1291.npy
..\dataset\tracks\1292.wav,..\dataset\masks\1292.npy
..\dataset\tracks\1293.wav,..\dataset\masks\1293.npy
..\dataset\tracks\1294.wav,..\dataset\masks\1294.npy
..\dataset\tracks\1295.wav,..\dataset\masks\1295.npy
..\dataset\tracks\1296.wav,..\dataset\masks\1296.npy
..\dataset\tracks\1297.wav,..\dataset\masks\1297.npy
..\dataset\tracks\1298.wav,..\dataset\masks\1298.npy
..\dataset\tracks\1299.wav,..\dataset\masks\1299.npy
..\dataset\tracks\13.wav,..\dataset\masks\13.npy
..\dataset\tracks\130.wav,..\dataset\masks\130.npy
..\dataset\tracks\1300.wav,..\dataset\masks\1300.npy
..\dataset\tracks\1301.wav,..\dataset\masks\1301.npy
..\dataset\tracks\1302.wav,..\dataset\masks\1302.npy
..\dataset\tracks\1303.wav,..\dataset\masks\1303.npy
..\dataset\tracks\1304.wav,..\dataset\masks\1304.npy
..\dataset\tracks\1305.wav,..\dataset\masks\1305.npy
..\dataset\tracks\1306.wav,..\dataset\masks\1306.npy
..\dataset\tracks\1307.wav,..\dataset\masks\1307.npy
..\dataset\tracks\1308.wav,..\dataset\masks\1308.npy
..\dataset\tracks\1309.wav,..\dataset\masks\1309.npy
..\dataset\tracks\131.wav,..\dataset\masks\131.npy
..\dataset\tracks\1310.wav,..\dataset\masks\1310.npy
..\dataset\tracks\1311.wav,..\dataset\masks\1311.npy
..\dataset\tracks\1312.wav,..\dataset\masks\1312.npy
..\dataset\tracks\1313.wav,..\dataset\masks\1313.npy
..\dataset\tracks\1314.wav,..\dataset\masks\1314.npy
..\dataset\tracks\1315.wav,..\dataset\masks\1315.npy
..\dataset\tracks\1316.wav,..\dataset\masks\1316.npy
..\dataset\tracks\1317.wav,..\dataset\masks\1317.npy
..\dataset\tracks\1318.wav,..\dataset\masks\1318.npy
..\dataset\tracks\1319.wav,..\dataset\masks\1319.npy
..\dataset\tracks\132.wav,..\dataset\masks\132.npy
..\dataset\tracks\1320.wav,..\dataset\masks\1320.npy
..\dataset\tracks\1321.wav,..\dataset\masks\1321.npy
..\dataset\tracks\1322.wav,..\dataset\masks\1322.npy
..\dataset\tracks\1323.wav,..\dataset\masks\1323.npy
..\dataset\tracks\1324.wav,..\dataset\masks\1324.npy
..\dataset\tracks\1325.wav,..\dataset\masks\1325.npy
..\dataset\tracks\1326.wav,..\dataset\masks\1326.npy
..\dataset\tracks\1327.wav,..\dataset\masks\1327.npy
..\dataset\tracks\1328.wav,..\dataset\masks\1328.npy
..\dataset\tracks\1329.wav,..\dataset\masks\1329.npy
..\dataset\tracks\133.wav,..\dataset\masks\133.npy
..\dataset\tracks\1330.wav,..\dataset\masks\1330.npy
..\dataset\tracks\1331.wav,..\dataset\masks\1331.npy
..\dataset\tracks\1332.wav,..\dataset\masks\1332.npy
..\dataset\tracks\1333.wav,..\dataset\masks\1333.npy
..\dataset\tracks\1334.wav,..\dataset\masks\1334.npy
..\dataset\tracks\1335.wav,..\dataset\masks\1335.npy
..\dataset\tracks\1336.wav,..\dataset\masks\1336.npy
..\dataset\tracks\1337.wav,..\dataset\masks\1337.npy
..\dataset\tracks\1338.wav,..\dataset\masks\1338.npy
..\dataset\tracks\1339.wav,..\dataset\masks\1339.npy
..\dataset\tracks\134.wav,..\dataset\masks\134.npy
..\dataset\tracks\1340.wav,..\dataset\masks\1340.npy
..\dataset\tracks\1341.wav,..\dataset\masks\1341.npy
..\dataset\tracks\1342.wav,..\dataset\masks\1342.npy
..\dataset\tracks\1343.wav,..\dataset\masks\1343.npy
..\dataset\tracks\1344.wav,..\dataset\masks\1344.npy
..\dataset\tracks\1345.wav,..\dataset\masks\1345.npy
..\dataset\tracks\1346.wav,..\dataset\masks\1346.npy
..\dataset\tracks\1347.wav,..\dataset\masks\1347.npy
..\dataset\tracks\1348.wav,..\dataset\masks\1348.npy
..\dataset\tracks\1349.wav,..\dataset\masks\1349.npy
..\dataset\tracks\135.wav,..\dataset\masks\135.npy
..\dataset\tracks\1350.wav,..\dataset\masks\1350.npy
..\dataset\tracks\1351.wav,..\dataset\masks\1351.npy
..\dataset\tracks\1352.wav,..\dataset\masks\1352.npy
..\dataset\tracks\1353.wav,..\dataset\masks\1353.npy
..\dataset\tracks\1354.wav,..\dataset\masks\1354.npy
..\dataset\tracks\1355.wav,..\dataset\masks\1355.npy
..\dataset\tracks\1356.wav,..\dataset\masks\1356.npy
..\dataset\tracks\1357.wav,..\dataset\masks\1357.npy
..\dataset\tracks\1358.wav,..\dataset\masks\1358.npy
..\dataset\tracks\1359.wav,..\dataset\masks\1359.npy
..\dataset\tracks\136.wav,..\dataset\masks\136.npy
..\dataset\tracks\1360.wav,..\dataset\masks\1360.npy
..\dataset\tracks\1361.wav,..\dataset\masks\1361.npy
..\dataset\tracks\1362.wav,..\dataset\masks\1362.npy
..\dataset\tracks\1363.wav,..\dataset\masks\1363.npy
..\dataset\tracks\1364.wav,..\dataset\masks\1364.npy
..\dataset\tracks\1365.wav,..\dataset\masks\1365.npy
..\dataset\tracks\1366.wav,..\dataset\masks\1366.npy
..\dataset\tracks\1367.wav,..\dataset\masks\1367.npy
..\dataset\tracks\1368.wav,..\dataset\masks\1368.npy
..\dataset\tracks\1369.wav,..\dataset\masks\1369.npy
..\dataset\tracks\137.wav,..\dataset\masks\137.npy
..\dataset\tracks\1370.wav,..\dataset\masks\1370.npy
..\dataset\tracks\1371.wav,..\dataset\masks\1371.npy
..\dataset\tracks\1372.wav,..\dataset\masks\1372.npy
..\dataset\tracks\1373.wav,..\dataset\masks\1373.npy
..\dataset\tracks\1374.wav,..\dataset\masks\1374.npy
..\dataset\tracks\1375.wav,..\dataset\masks\1375.npy
..\dataset\tracks\1376.wav,..\dataset\masks\1376.npy
..\dataset\tracks\1377.wav,..\dataset\masks\1377.npy
..\dataset\tracks\1378.wav,..\dataset\masks\1378.npy
..\dataset\tracks\1379.wav,..\dataset\masks\1379.npy
..\dataset\tracks\138.wav,..\dataset\masks\138.npy
..\dataset\tracks\1380.wav,..\dataset\masks\1380.npy
..\dataset\tracks\1381.wav,..\dataset\masks\1381.npy
..\dataset\tracks\1382.wav,..\dataset\masks\1382.npy
..\dataset\tracks\1383.wav,..\dataset\masks\1383.npy
..\dataset\tracks\1384.wav,..\dataset\masks\1384.npy
..\dataset\tracks\1385.wav,..\dataset\masks\1385.npy
..\dataset\tracks\1386.wav,..\dataset\masks\1386.npy
..\dataset\tracks\1387.wav,..\dataset\masks\1387.npy
..\dataset\tracks\1388.wav,..\dataset\masks\1388.npy
..\dataset\tracks\1389.wav,..\dataset\masks\1389.npy
..\dataset\tracks\139.wav,..\dataset\masks\139.npy
..\dataset\tracks\1390.wav,..\dataset\masks\1390.npy
..\dataset\tracks\1391.wav,..\dataset\masks\1391.npy
..\dataset\tracks\1392.wav,..\dataset\masks\1392.npy
..\dataset\tracks\1393.wav,..\dataset\masks\1393.npy
..\dataset\tracks\1394.wav,..\dataset\masks\1394.npy
..\dataset\tracks\1395.wav,..\dataset\masks\1395.npy
..\dataset\tracks\1396.wav,..\dataset\masks\1396.npy
..\dataset\tracks\1397.wav,..\dataset\masks\1397.npy
..\dataset\tracks\1398.wav,..\dataset\masks\1398.npy
..\dataset\tracks\1399.wav,..\dataset\masks\1399.npy
..\dataset\tracks\14.wav,..\dataset\masks\14.npy
..\dataset\tracks\140.wav,..\dataset\masks\140.npy
..\dataset\tracks\1400.wav,..\dataset\masks\1400.npy
..\dataset\tracks\1401.wav,..\dataset\masks\1401.npy
..\dataset\tracks\1402.wav,..\dataset\masks\1402.npy
..\dataset\tracks\1403.wav,..\dataset\masks\1403.npy
..\dataset\tracks\1404.wav,..\dataset\masks\1404.npy
